Rooms,Bathrooms,Floor Level,Year Built,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter,finishing_type,Type,price after 10 years
2.0,1 bathroom,2.0,2028.0,Outer,Cash or Installments,The View Residence,B(Compound),20538000.0,126000.0,superlux,Investment,47765000.0
3.0,1 bathroom,13.0,2027.0,Inner,Cash or Installments,Muruj,C(BASICS),9680000.0,55000.0,superlux,Investment,17363000.0
3.0,2 bathroom,2.0,2024.0,Outer,Cash,Al Banafseg 3,C(BASICS),8000000.0,40000.0,superlux,Own,
2.0,2 bathroom,2.0,2020.0,Outer,Cash or Installments,ليك فيو ريزيدنس,B(Compound),8000000.0,55555.56,superlux,Own,
4.0,2 bathroom,2.0,2026.0,Outer,Cash or Installments,Bait El Watan,C(BASICS),4500000.0,18000.0,semi,Own,
3.0,2 bathroom,2.0,2027.0,Inner,Cash or Installments,كمبوند وعد,B(Compound),3573000.0,21395.21,semi,Investment,8405000.0
2.0,2 bathroom,2.0,2025.0,Inner,Cash or Installments,Wondermark Compound,B(Compound),13600000.0,113333.33,superlux,Own,
2.0,1 bathroom,4.0,2025.0,Outer,Installments,منتجع سكانديك,C(BASICS),10786769.0,81103.53,superlux,Own,
3.0,3 bathroom,3.0,2025.0,Outer,Cash,Beit El Watan,B(Compound),4820000.0,21909.09,semi,Own,
3.0,2 bathroom,2.0,2025.0,Outer,Cash,6Th Tourist Area,C(BASICS),7000000.0,29166.67,superlux,Own,
3.0,3 bathroom,3.0,2025.0,Outer,Cash,Zayed Heights Compound,B(Compound),7000000.0,29166.67,superlux,Own,
3.0,1 bathroom,2.0,2024.0,Outer,Cash or Installments,Jasmine Gardens Compound,B(Compound),2850000.0,23360.66,semi,Own,
2.0,2 bathroom,3.0,2025.0,Inner,Cash,El Patio Oro,B(Compound),6900000.0,53906.25,semi,Own,
3.0,4 bathroom,1.0,2026.0,Inner,Cash or Installments,Swan Lake Residence,B(Compound),17150000.0,70576.13,superlux,Own,
2.0,2 bathroom,3.0,2026.0,Outer,Installments,Iris,C(BASICS),10000000.0,78740.16,semi,Own,
3.0,3 bathroom,2.0,2025.0,Inner,Cash,السياحية الشمالية الأولى,B(Compound),4300000.0,24571.43,without,Own,
4.0,3 bathroom,9.0,2023.0,Outer,Installments,Abd El,B(Compound),11280000.0,48000.0,superlux,Own,
3.0,2 bathroom,4.0,2000.0,Outer,Cash,شارع الصحابة الكرام,C(BASICS),4100000.0,23428.57,superlux,Own,
4.0,4 bathroom,2.0,2025.0,Outer,Cash or Installments,Haptown Hassan Allam,B(Compound),13860000.0,70355.33,without,Own,
3.0,2 bathroom,3.0,2019.0,Outer,Cash,El Hosary,C(BASICS),2800000.0,18666.67,semi,Own,
4.0,2 bathroom,1.0,2026.0,Outer,Cash or Installments,Bait El Watan,C(BASICS),4340000.0,18869.57,semi,Own,
2.0,2 bathroom,10.0,1999.0,Outer,Cash,شارع أحمد حسن,C(BASICS),3400000.0,24285.71,superlux,Own,
3.0,3 bathroom,1.0,2026.0,Outer,Cash or Installments,الحي الرابع,C(BASICS),5750000.0,25000.0,semi,Own,
1.0,1 bathroom,1.0,2025.0,Outer,Cash,Esse Residence,C(BASICS),2854000.0,46032.26,without,Own,
2.0,3 bathroom,4.0,2027.0,Outer,Cash or Installments,Canal Walk Island,C(BASICS),27000000.0,164634.15,superlux,Investment,47698000.0
4.0,3 bathroom,2.0,2025.0,Inner,Cash or Installments,American University Housing,C(BASICS),7350000.0,31012.66,semi,Own,
1.0,1 bathroom,1.0,2029.0,Inner,Cash or Installments,Notion Compound,B(Compound),2650000.0,51960.78,semi,Investment,6146000.0
2.0,1 bathroom,3.0,2024.0,Inner,Cash or Installments,كمبوند صن كابيتال,B(Compound),7330000.0,67870.37,semi,Own,
2.0,1 bathroom,5.0,1999.0,Outer,Cash,El Eshrein St,C(BASICS),1200000.0,8571.43,superlux,Own,
3.0,3 bathroom,2.0,2025.0,Outer,Installments,الحي الرابع,C(BASICS),7250000.0,30851.06,without,Own,
3.0,1 bathroom,2.0,2025.0,Outer,Cash,Helmeyat El Zaytoun,C(BASICS),3340000.0,20000.0,semi,Own,
3.0,,2.0,2025.0,Outer,Cash or Installments,Taj City With,B(Compound),7100000.0,42771.08,semi,Own,
2.0,1 bathroom,2.0,2026.0,Outer,Cash,كمبوند كيان,B(Compound),4101000.0,45566.67,semi,Own,
2.0,2 bathroom,2.0,2025.0,Inner,Cash,Aeon Compound,B(Compound),11500000.0,85185.19,superlux,Own,
3.0,2 bathroom,1.0,2028.0,Outer,Cash or Installments,Makany Compound,B(Compound),4938890.0,32492.7,semi,Investment,11085000.0
4.0,3 bathroom,2.0,2018.0,Outer,Cash,Zaid Ebn Haretha,B(Compound),9500000.0,31666.67,semi,Own,
3.0,4 bathroom,4.0,2025.0,Inner,Cash or Installments,El Andalus 1,C(BASICS),4162500.0,22500.0,semi,Own,
2.0,2 bathroom,2.0,2018.0,Inner,Cash,Mountain View Hyde,B(Compound),10450000.0,78571.43,superlux,Own,
3.0,2 bathroom,2.0,2027.0,Outer,Cash or Installments,El Shorouk In,B(Compound),4450000.0,32246.38,semi,Investment,10034000.0
2.0,1 bathroom,3.0,2000.0,Outer,Cash,شارع ترسا,C(BASICS),1000000.0,12500.0,superlux,Own,
2.0,2 bathroom,1.0,2025.0,Inner,Cash or Installments,Installments Over 6,B(Compound),6480000.0,74482.76,without,Own,
3.0,3 bathroom,1.0,2019.0,Outer,Cash,El Nakheel Compound,B(Compound),7200000.0,36000.0,superlux,Own,
3.0,1 bathroom,4.0,2025.0,Outer,Cash,Sixteenth Neighborhood,C(BASICS),3500000.0,26923.08,superlux,Own,
3.0,3 bathroom,3.0,2027.0,Outer,Cash or Installments,كومبوندمتكامل الخدمات,C(BASICS),3075000.0,25000.0,without,Investment,4682000.0
3.0,3 bathroom,1.0,2024.0,Inner,Cash or Installments,Beverly Hills Compound,B(Compound),5850000.0,29846.94,superlux,Own,
3.0,2 bathroom,3.0,2025.0,Outer,Installments,Mashreq,B(Compound),4930500.0,28500.0,semi,Own,
1.0,1 bathroom,2.0,2026.0,Inner,Cash or Installments,Long Beach –,C(BASICS),5596422.0,60176.58,superlux,Own,
4.0,4 bathroom,1.0,2024.0,Inner,Cash,Suleiman Al,B(Compound),8000000.0,34782.61,semi,Own,
3.0,3 bathroom,2.0,2027.0,Outer,Cash or Installments,Address Home Compound,B(Compound),3600000.0,25352.11,semi,Investment,8104000.0
3.0,1 bathroom,5.0,2000.0,Outer,Cash,El Higaz St,C(BASICS),4500000.0,22500.0,superlux,Own,
1.0,1 bathroom,2.0,2026.0,Inner,Cash or Installments,Long Beach –,C(BASICS),6631223.0,49858.82,superlux,Own,
3.0,3 bathroom,3.0,2000.0,Outer,Cash,شارع الروضة,C(BASICS),13000000.0,65000.0,superlux,Own,
3.0,2 bathroom,2.0,2024.0,Inner,Cash,Madinaty,C(BASICS),5500000.0,51401.87,superlux,Own,
3.0,2 bathroom,2.0,2025.0,Outer,Cash,Zaid Ebn Haretha,C(BASICS),7500000.0,35714.29,semi,Own,
3.0,2 bathroom,3.0,2025.0,Inner,Cash,Talaat Mostafa St.,C(BASICS),7500000.0,56818.18,superlux,Own,
3.0,3 bathroom,2.0,2026.0,Inner,Installments,Bait Al Watan,C(BASICS),4500000.0,26470.59,semi,Own,
1.0,1 bathroom,2.0,2025.0,Inner,Installments,مدينتي,C(BASICS),4997490.0,64070.38,superlux,Own,
3.0,2 bathroom,2.0,2025.0,Outer,Cash,كمبوند فيفث سكوير,B(Compound),10000000.0,69444.44,superlux,Own,
3.0,3 bathroom,1.0,2025.0,Inner,Cash or Installments,Sedki Suliman St.,C(BASICS),8700000.0,42439.02,superlux,Own,
3.0,3 bathroom,3.0,2027.0,Outer,Installments,شمال بيت الوطن,C(BASICS),4040000.0,25250.0,semi,Investment,7815000.0
3.0,2 bathroom,2.0,2025.0,Inner,Cash,مدينتي Madinaty,B(Compound),11000000.0,55000.0,superlux,Own,
3.0,2 bathroom,2.0,2025.0,Outer,Installments,كمبوند كابيتال هايتس,B(Compound),4906750.0,30667.19,without,Own,
3.0,3 bathroom,2.0,2026.0,Outer,Installments,القرنفل فيلات,C(BASICS),5300000.0,31176.47,semi,Own,
3.0,3 bathroom,3.0,2026.0,Outer,Installments,الحي الرابع,C(BASICS),4000000.0,17391.3,semi,Own,
3.0,2 bathroom,3.0,2027.0,Inner,Installments,شمال بيت الوطن,C(BASICS),3464000.0,25470.59,semi,Investment,6304000.0
3.0,1 bathroom,13.0,2027.0,Inner,Cash or Installments,Muruj,B(Compound),6500000.0,38690.48,superlux,Investment,15723000.0
2.0,1 bathroom,2.0,2025.0,Outer,Installments,كمبوند سرايات القطامية,B(Compound),2681000.0,31541.18,semi,Own,
3.0,3 bathroom,3.0,2025.0,Inner,Cash,شارع 17,C(BASICS),12500000.0,51020.41,superlux,Own,
3.0,2 bathroom,3.0,2025.0,Outer,Installments,اللوتس الجنوبيه,C(BASICS),5300000.0,35333.33,superlux,Own,
2.0,2 bathroom,3.0,2028.0,Outer,Installments,Ahmed Zewail Rd,C(BASICS),3531000.0,32100.0,semi,Investment,5752000.0
3.0,2 bathroom,4.0,2020.0,Inner,Cash,Shooting Club Area,C(BASICS),9000000.0,45000.0,semi,Own,
3.0,1 bathroom,13.0,2027.0,Inner,Cash or Installments,Muruj,B(Compound),6000000.0,37267.08,superlux,Investment,14509000.0
4.0,3 bathroom,2.0,2022.0,Outer,Cash,المجاوره الرابعه,C(BASICS),5750000.0,22115.38,semi,Own,
3.0,3 bathroom,1.0,2025.0,Inner,Cash or Installments,Stone Residence,B(Compound),6100000.0,30500.0,semi,Own,
3.0,3 bathroom,1.0,2000.0,Outer,Cash,Ahmed Oraby St,C(BASICS),3600000.0,21176.47,superlux,Own,
1.0,1 bathroom,1.0,2027.0,Outer,Cash or Installments,New Zayed,C(BASICS),3900000.0,56521.74,without,Investment,7041000.0
3.0,2 bathroom,1.0,2026.0,Outer,Cash or Installments,Diamond Project 8Th,C(BASICS),2800000.0,16969.7,semi,Own,
3.0,1 bathroom,7.0,2027.0,Outer,Installments,شارع عبده باشا,C(BASICS),2380000.0,20000.0,without,Investment,3693000.0
2.0,2 bathroom,2.0,2029.0,Inner,Installments,Valda Village,C(BASICS),7410000.0,58809.52,without,Investment,11852000.0
3.0,2 bathroom,5.0,2013.0,Outer,Cash or Installments,Hadayek Al Ahram,B(Compound),2475000.0,15000.0,superlux,Own,
3.0,2 bathroom,2.0,2025.0,Outer,Cash,Entertainment District El,C(BASICS),3000000.0,21126.76,semi,Own,
3.0,2 bathroom,1.0,2027.0,Outer,Installments,Zahraa El Maadi,B(Compound),4655000.0,35000.0,semi,Investment,10466000.0
3.0,3 bathroom,5.0,2027.0,Inner,Cash or Installments,New Cairo With,B(Compound),8900000.0,53939.39,without,Investment,19725000.0
3.0,3 bathroom,2.0,2029.0,Outer,Cash or Installments,Mukhabarat Land,C(BASICS),3168000.0,22000.0,semi,Investment,5158000.0
3.0,2 bathroom,2.0,2025.0,Outer,Cash or Installments,Entertainment District El,C(BASICS),3000000.0,21126.76,semi,Own,
3.0,3 bathroom,3.0,2025.0,Outer,Cash or Installments,شارع الامراء,C(BASICS),1250000.0,8064.52,without,Own,
3.0,2 bathroom,7.0,2005.0,Outer,Cash,شارع الامراء,C(BASICS),2955000.0,15972.97,superlux,Own,
3.0,2 bathroom,10.0,2013.0,Outer,Cash,شارع إبراهيم نوار,C(BASICS),5800000.0,30851.06,superlux,Own,
2.0,3 bathroom,3.0,2015.0,Outer,Cash,سبيكترام,C(BASICS),12000000.0,74074.07,semi,Own,
3.0,3 bathroom,1.0,2025.0,Outer,Cash,الخمائل,C(BASICS),5000000.0,29239.77,semi,Own,
3.0,3 bathroom,3.0,2025.0,Inner,Cash,شارع محمد رحيم,C(BASICS),10500000.0,30000.0,superlux,Own,
3.0,3 bathroom,1.0,2025.0,Inner,Cash,شارع محمد صبري,C(BASICS),6500000.0,37142.86,superlux,Own,
3.0,2 bathroom,3.0,2025.0,Outer,Cash,المستقبل 3,C(BASICS),3400000.0,28333.33,semi,Own,
3.0,3 bathroom,3.0,2025.0,Inner,Cash,Public Prosecution Compound,B(Compound),5950000.0,23800.0,semi,Own,
3.0,3 bathroom,2.0,2027.0,Outer,Cash or Installments,Address Home Compound,B(Compound),3075000.0,25000.0,semi,Investment,6946000.0
3.0,3 bathroom,1.0,2025.0,Outer,Cash,Prime View,B(Compound),5950000.0,34000.0,semi,Own,
3.0,3 bathroom,3.0,2025.0,Inner,Cash,بروميناد ريزيدنس,C(BASICS),6000000.0,26666.67,semi,Own,
3.0,2 bathroom,2.0,2012.0,Outer,Cash,أرقى أحياء التجمع,C(BASICS),8850000.0,34705.88,superlux,Own,
2.0,2 bathroom,6.0,2029.0,Inner,Cash or Installments,Northern 90Th St.,C(BASICS),7811000.0,66194.92,superlux,Investment,13893000.0
3.0,3 bathroom,2.0,2028.0,Inner,Cash or Installments,Sheikh Zayed,C(BASICS),8519000.0,48129.94,semi,Investment,15940000.0
3.0,2 bathroom,2.0,2028.0,Inner,Cash or Installments,Rewaq Residence Compound,B(Compound),5812263.0,36786.47,semi,Investment,13568000.0
3.0,2 bathroom,5.0,2025.0,Outer,Cash,شارع الأمل,C(BASICS),6500000.0,39393.94,superlux,Own,
3.0,3 bathroom,1.0,2028.0,Inner,Cash or Installments,Hadayek October,C(BASICS),6336000.0,32000.0,without,Investment,11298000.0
4.0,3 bathroom,2.0,2028.0,Inner,Cash or Installments,Compound,B(Compound),8716450.0,43582.25,semi,Investment,20377000.0
2.0,1 bathroom,1.0,2025.0,Inner,Cash or Installments,Installments Over 5,B(Compound),5810000.0,70000.0,superlux,Own,
3.0,1 bathroom,9.0,2003.0,Outer,Cash,شارع ادم,C(BASICS),1650000.0,11785.71,superlux,Own,
3.0,,2.0,2025.0,Inner,Cash or Installments,زيد إيست، استلام,C(BASICS),8887468.0,82291.37,semi,Own,
3.0,3 bathroom,3.0,2027.0,Inner,Cash or Installments,Mosalsal 2,C(BASICS),3059000.0,23000.0,without,Investment,4842000.0
2.0,1 bathroom,4.0,2025.0,Outer,Cash or Installments,New Heliopolis,B(Compound),3890000.0,33826.09,superlux,Own,
3.0,1 bathroom,12.0,2026.0,Outer,Cash or Installments,زهراء المعادي امام,C(BASICS),4165000.0,35000.0,semi,Own,
1.0,1 bathroom,1.0,2025.0,Outer,Cash,Azzurra Sahl Hasheesh,C(BASICS),7350000.0,93037.97,superlux,Own,
3.0,3 bathroom,3.0,2027.0,Outer,Cash or Installments,Golden Square,C(BASICS),4344000.0,24000.0,semi,Investment,7109000.0
3.0,2 bathroom,2.0,2025.0,Inner,Cash or Installments,The Heart Of,B(Compound),5580000.0,31348.31,semi,Own,
2.0,2 bathroom,3.0,2027.0,Inner,Cash or Installments,De Joya Residence,C(BASICS),14316000.0,80426.97,without,Investment,24320000.0
3.0,2 bathroom,3.0,2022.0,Inner,Cash,Madinaty,B(Compound),8700000.0,51785.71,superlux,Own,
3.0,3 bathroom,2.0,2024.0,Outer,Cash,Abdul Rahman Al,C(BASICS),4845000.0,28500.0,semi,Own,
3.0,3 bathroom,1.0,2015.0,Inner,Cash,سبيكترام,C(BASICS),20000000.0,96153.85,superlux,Own,
3.0,3 bathroom,5.0,2010.0,Inner,Cash,القرنفل 1,C(BASICS),3850000.0,27500.0,superlux,Own,
3.0,3 bathroom,3.0,2028.0,Inner,Installments,Address Home 2,C(BASICS),4582000.0,29000.0,without,Investment,7237000.0
4.0,3 bathroom,2.0,2025.0,Outer,Cash,6Th Tourist Area,B(Compound),9500000.0,33928.57,superlux,Own,
2.0,2 bathroom,2.0,2025.0,Inner,Cash or Installments,Village West Compound,B(Compound),9000000.0,81818.18,superlux,Own,
3.0,2 bathroom,1.0,2025.0,Outer,Cash,اللوتس الجنوبيه,C(BASICS),6200000.0,33333.33,superlux,Own,
3.0,3 bathroom,2.0,2017.0,Inner,Cash,Lake Dream,C(BASICS),6000000.0,36809.82,superlux,Own,
1.0,1 bathroom,1.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),4713000.0,49610.53,semi,Investment,8162000.0
3.0,2 bathroom,2.0,2020.0,Outer,Cash,Lotus South,C(BASICS),4800000.0,34285.71,superlux,Own,
4.0,5 bathroom,3.0,2025.0,Inner,Cash,شارع الجابري,B(Compound),10700000.0,32424.24,superlux,Own,
1.0,1 bathroom,3.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),4827000.0,50810.53,semi,Investment,8230000.0
3.0,3 bathroom,1.0,2015.0,Outer,Cash,ميدان سفنكس,C(BASICS),7300000.0,47096.77,superlux,Own,
2.0,2 bathroom,2.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),6211200.0,48525.0,semi,Investment,10181000.0
3.0,2 bathroom,2.0,2010.0,Outer,Cash,جنوب الأكاديمية –,C(BASICS),7000000.0,36842.11,superlux,Own,
3.0,4 bathroom,5.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),8994400.0,53538.1,semi,Investment,15185000.0
2.0,2 bathroom,5.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),5904000.0,46125.0,semi,Investment,9919000.0
2.0,2 bathroom,2.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),7079200.0,51298.55,semi,Investment,11534000.0
1.0,1 bathroom,2.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),4941000.0,52010.53,semi,Investment,8415000.0
2.0,2 bathroom,1.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),6057600.0,47325.0,semi,Investment,9884000.0
3.0,4 bathroom,2.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),9440800.0,50756.99,semi,Investment,15878000.0
2.0,2 bathroom,4.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),5904000.0,46125.0,semi,Investment,9923000.0
3.0,4 bathroom,4.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),8994400.0,53538.1,semi,Investment,15196000.0
2.0,2 bathroom,4.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),6840000.0,53437.5,semi,Investment,11228000.0
2.0,3 bathroom,1.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),6057600.0,47325.0,semi,Investment,9917000.0
2.0,2 bathroom,1.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),7244000.0,49958.62,semi,Investment,12076000.0
3.0,3 bathroom,4.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),8994400.0,48356.99,semi,Investment,15281000.0
2.0,2 bathroom,1.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),6211200.0,48525.0,semi,Investment,10162000.0
1.0,1 bathroom,1.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),4827000.0,50810.53,semi,Investment,8243000.0
2.0,2 bathroom,3.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),7176000.0,51257.14,semi,Investment,12001000.0
2.0,2 bathroom,5.0,2029.0,Outer,Cash or Installments,Green Revolution,C(BASICS),5904000.0,46125.0,semi,Investment,9658000.0
2.0,2 bathroom,3.0,2024.0,Inner,Cash,Sarai Compound,B(Compound),3700000.0,32456.14,semi,Own,
3.0,3 bathroom,2.0,2028.0,Outer,Cash or Installments,Mukhabarat Land,C(BASICS),3168000.0,22000.0,semi,Investment,5128000.0
3.0,3 bathroom,1.0,2027.0,Inner,Cash or Installments,New Cairo With,C(BASICS),4886000.0,31522.58,without,Investment,8830000.0
3.0,2 bathroom,3.0,2028.0,Outer,Cash or Installments,Akasa Mia Compound,B(Compound),8455000.0,52843.75,without,Investment,18116000.0
3.0,3 bathroom,4.0,2025.0,Outer,Cash or Installments,Amorada Compound,B(Compound),9500000.0,57228.92,superlux,Own,
3.0,3 bathroom,1.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),9217600.0,49556.99,semi,Investment,15602000.0
3.0,4 bathroom,3.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),9440800.0,50756.99,semi,Investment,15860000.0
3.0,4 bathroom,2.0,2029.0,Inner,Cash or Installments,Green Revolution,C(BASICS),9268000.0,49827.96,semi,Investment,15649000.0
3.0,3 bathroom,1.0,2025.0,Inner,Cash,Stone Residence,B(Compound),6000000.0,34285.71,superlux,Own,
3.0,3 bathroom,1.0,2025.0,Outer,Cash,El Patio Oro,C(BASICS),13325000.0,57934.78,semi,Own,
5.0,2 bathroom,2.0,1990.0,Inner,Cash,Al Maadi Prime,C(BASICS),5500000.0,27500.0,superlux,Own,
2.0,2 bathroom,2.0,2025.0,Outer,Cash,Sarai – Phase,B(Compound),4250000.0,32692.31,superlux,Own,
2.0,2 bathroom,1.0,2025.0,Inner,Cash,El Patio Oro,C(BASICS),6900000.0,53906.25,semi,Own,
3.0,3 bathroom,3.0,2024.0,Outer,Cash,Bait El Watan,C(BASICS),7500000.0,30991.74,superlux,Own,
3.0,2 bathroom,4.0,2028.0,Inner,Cash or Installments,Kardia Compound,B(Compound),6582188.0,44776.79,semi,Investment,15354000.0
3.0,2 bathroom,1.0,2026.0,Inner,Installments,جنوب طريق السويس,C(BASICS),3640000.0,26000.0,semi,Own,
3.0,2 bathroom,4.0,2026.0,Inner,Installments,جنوب طريق السويس,C(BASICS),3438000.0,27504.0,semi,Own,
2.0,1 bathroom,1.0,2025.0,Outer,Cash,Madinaty B3 With,B(Compound),6600000.0,60000.0,superlux,Own,
2.0,1 bathroom,1.0,2013.0,Outer,Cash,Madinaty,C(BASICS),4000000.0,47058.82,superlux,Own,
3.0,2 bathroom,2.0,2029.0,Inner,Cash or Installments,Seven Residence Compound,B(Compound),4230000.0,29580.42,semi,Investment,9882000.0
3.0,2 bathroom,1.0,2025.0,Outer,Cash,Al,C(BASICS),7500000.0,36585.37,superlux,Own,
2.0,1 bathroom,1.0,2026.0,Inner,Installments,هوليدايز بارك –,C(BASICS),7077000.0,67400.0,superlux,Own,
1.0,1 bathroom,1.0,2026.0,Outer,Installments,A Small Unit,C(BASICS),3082000.0,48156.25,superlux,Own,
2.0,1 bathroom,1.0,2026.0,Outer,Installments,A Desirable Location,C(BASICS),3496000.0,46000.0,superlux,Own,
3.0,3 bathroom,2.0,2020.0,Inner,Cash,Mv Hyde Park,B(Compound),12000000.0,55555.56,without,Own,
3.0,1 bathroom,2.0,2025.0,Inner,Cash or Installments,New Narges,C(BASICS),5035000.0,34724.14,semi,Own,
3.0,3 bathroom,2.0,2028.0,Inner,Cash or Installments,Sheikh Zayed,C(BASICS),6505000.0,50038.46,semi,Investment,13119000.0
1.0,1 bathroom,1.0,2026.0,Outer,Installments,The Heart Of,C(BASICS),3082000.0,48156.25,superlux,Own,
3.0,2 bathroom,2.0,2027.0,Outer,Installments,El Obour,C(BASICS),2625000.0,21000.0,semi,Investment,4228000.0
3.0,2 bathroom,4.0,2028.0,Outer,Cash or Installments,Rock Yard Compound,B(Compound),9299919.0,53756.76,semi,Investment,20913000.0
3.0,3 bathroom,2.0,2023.0,Outer,Cash,Aurora,C(BASICS),23600000.0,100000.0,semi,Own,
2.0,2 bathroom,3.0,2029.0,Outer,Cash or Installments,Compound Monthlky Installment,B(Compound),3900000.0,39000.0,without,Investment,8310000.0
3.0,4 bathroom,2.0,2022.0,Inner,Cash,Mountain View Hyde,B(Compound),16000000.0,58181.82,without,Own,
3.0,2 bathroom,3.0,2026.0,Outer,Cash or Installments,New Narges,C(BASICS),5500000.0,33742.33,semi,Own,
4.0,2 bathroom,3.0,2025.0,Inner,Cash,Samir Shehata Street,C(BASICS),7700000.0,33478.26,superlux,Own,
2.0,2 bathroom,4.0,2019.0,Outer,Cash,مناطق فرعية بالمهندسين,C(BASICS),8250000.0,46875.0,superlux,Own,
4.0,3 bathroom,2.0,2027.0,Outer,Installments,Waad Compound,B(Compound),4455000.0,21731.71,semi,Investment,10055000.0
1.0,1 bathroom,1.0,2026.0,Outer,Installments,A Resort That,C(BASICS),2944000.0,46000.0,superlux,Own,
3.0,3 bathroom,10.0,2028.0,Inner,Installments,Zed West For,C(BASICS),16740000.0,102699.39,superlux,Investment,29344000.0
3.0,3 bathroom,1.0,2025.0,Inner,Cash,Lagoon Beach Park,B(Compound),5250000.0,33870.97,without,Own,
3.0,3 bathroom,1.0,2029.0,Inner,Cash or Installments,كمبوند ويست دايز,B(Compound),8174566.0,58389.76,semi,Investment,19098000.0
2.0,1 bathroom,1.0,2026.0,Outer,Installments,A 76M² Two,C(BASICS),3496000.0,46000.0,superlux,Own,
3.0,3 bathroom,1.0,2028.0,Outer,Cash or Installments,أكتوبر الجديدة,C(BASICS),3500000.0,20588.24,without,Investment,5352000.0
3.0,3 bathroom,6.0,2025.0,Inner,Cash,كمبوند رودس,B(Compound),3500000.0,18716.58,semi,Own,
1.0,1 bathroom,2.0,2013.0,Outer,Cash,منتجع سمرا باي,C(BASICS),4500000.0,60000.0,superlux,Own,
1.0,2 bathroom,2.0,2028.0,Outer,Cash or Installments,Zamoon Compound,B(Compound),2545850.0,43150.0,semi,Investment,5753000.0
2.0,1 bathroom,1.0,2008.0,Outer,Cash,Masaken El Dobat,C(BASICS),1950000.0,22674.42,superlux,Own,
3.0,2 bathroom,11.0,2013.0,Outer,Cash,El Sawaf St.,C(BASICS),3500000.0,23333.33,superlux,Own,
